name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,PValue,PAdj,FDR,falsePos,HBR_1,HBR_2,HBR_3,UHR_1,UHR_2,UHR_3
ENSG00000100151.15,ENSG00000100151,141.7,102,39.7,0.387,-1.4,7.1e-08,0.0e+00,0,0,112,90,104,32,36,51
ENSG00000278195.1,ENSG00000278195,57,46,11,0.23,-2.1,7.5e-08,0.0e+00,0,0,40,39,59,10,12,11
ENSG00000099953.9,ENSG00000099953,25.3,2,23.3,11.163,3.5,8.3e-08,0.0e+00,0,0,3,1,2,25,21,24
ENSG00000184708.17,ENSG00000184708,175.7,116.3,59.3,0.503,-1,1.6e-07,0.0e+00,0,0,124,110,115,54,66,58
ENSG00000099998.17,ENSG00000099998,32.3,29,3.3,0.131,-2.9,2.1e-07,0.0e+00,0,0,28,34,25,6,2,2
ENSG00000184792.15,ENSG00000184792,199,136,63,0.472,-1.1,2.2e-07,0.0e+00,0,0,154,142,112,68,50,71
ENSG00000100243.20,ENSG00000100243,436,171.3,264.7,1.538,0.6,2.3e-07,0.0e+00,0,0,167,182,165,258,265,271
ENSG00000100239.15,ENSG00000100239,397.3,252.3,145,0.571,-0.8,2.3e-07,0.0e+00,0,0,210,250,297,137,147,151
ENSG00000184319.15,ENSG00000184319,88.3,64,24.3,0.382,-1.4,2.5e-07,1.0e-04,0,0,58,66,68,21,23,29
ENSG00000128309.16,ENSG00000128309,128.3,39.3,89,2.311,1.2,3.1e-07,1.0e-04,0,0,45,32,41,90,78,99
ENSG00000133519.12,ENSG00000133519,22.7,21.3,1.3,0.06,-4.1,3.5e-07,1.0e-04,0,0,28,19,17,0,1,3
ENSG00000100344.10,ENSG00000100344,37.7,6,31.7,5.074,2.3,3.6e-07,1.0e-04,0,0,8,5,5,28,35,32
ENSG00000128242.12,ENSG00000128242,25.3,22.3,3,0.133,-2.9,3.7e-07,1.0e-04,0,0,25,20,22,3,3,3
ENSG00000198951.11,ENSG00000198951,155.7,47,108.7,2.283,1.2,5.2e-07,1.0e-04,0,0,37,39,65,99,111,116
ENSG00000128285.4,ENSG00000128285,21.3,20,1.3,0.062,-4,5.4e-07,1.0e-04,0,0,16,23,21,0,3,1
ENSG00000100031.18,ENSG00000100031,53,11.7,41.3,3.549,1.8,6.7e-07,1.0e-04,0,0,11,13,11,48,33,43
